pc,explained_variance_pct,cumulative_variance_pct
1,28.405307353256298,28.405307353256298
2,7.954499352033395,36.35980670528969
3,6.522516551614664,42.88232325690436
4,5.563911490259846,48.446234747164205
5,3.415166479492224,51.86140122665643
6,3.026665914618774,54.88806714127521
7,2.9672798210120575,57.85534696228727
8,2.6846787819145015,60.54002574420178
9,2.4803972513244457,63.02042299552622
10,2.1185419991021917,65.13896499462841
11,1.976671661442202,67.1156366560706
12,1.8665865891382725,68.98222324520889
13,1.8296618211884341,70.81188506639732
14,1.6226240470273143,72.43450911342462
15,1.5542430568997245,73.98875217032436
16,1.517010744898003,75.50576291522236
17,1.3468097550261344,76.85257267024849
18,1.2868754158028743,78.13944808605137
19,1.2433002101862354,79.38274829623762
20,1.1435750822174384,80.52632337845506
21,1.1247959814820072,81.65111935993707
22,1.068698485354445,82.71981784529152
23,0.9960979331330114,83.71591577842452
24,0.9829707320223627,84.69888651044688
25,0.9294159396739317,85.62830245012081
26,0.9007918530773205,86.52909430319812
27,0.8106221242372629,87.33971642743539
28,0.7656040340457805,88.10532046148117
29,0.7381312435643868,88.84345170504557
30,0.7185093141406039,89.56196101918617
31,0.6720408576152761,90.23400187680144
32,0.6490033576132885,90.88300523441472
33,0.6341789252995129,91.51718415971423
34,0.6040289143336448,92.12121307404789
35,0.556978077283114,92.67819115133099
36,0.5325935483043435,93.21078469963533
37,0.5005522480735097,93.71133694770883
38,0.4727595426928804,94.18409649040171
39,0.44510529001693516,94.62920178041865
40,0.4121409288679375,95.04134270928658
41,0.3794074663676858,95.42075017565426
42,0.35682518286020215,95.77757535851447
43,0.34221702258912273,96.11979238110358
44,0.33075337687307904,96.45054575797667
45,0.2867360809499385,96.7372818389266
46,0.25173321001666754,96.98901504894327
47,0.23022002693692598,97.21923507588019
48,0.22892052034350374,97.4481555962237
49,0.21863559184411796,97.66679118806782
50,0.20373458809576245,97.87052577616357
51,0.1747915963465041,98.04531737251008
52,0.16702688734618762,98.21234425985627
53,0.14741591671043924,98.3597601765667
54,0.14108635187027796,98.50084652843698
55,0.12815554267596901,98.62900207111295
56,0.11961155119119074,98.74861362230413
57,0.11073122405542535,98.85934484635956
58,0.10791270489144403,98.96725755125101
59,0.09644056396778705,99.0636981152188
60,0.09098430771949546,99.1546824229383
61,0.08401978508748156,99.23870220802579
62,0.0804021105883161,99.31910431861411
63,0.06686889987732436,99.38597321849143
64,0.06507047412642017,99.45104369261784
65,0.05712890516826842,99.50817259778611
66,0.05454770074667843,99.5627202985328
67,0.04648151844956729,99.60920181698236
68,0.044376058055096104,99.65357787503746
69,0.039568357988038615,99.6931462330255
70,0.03664587155773656,99.72979210458324
71,0.031185173792409544,99.76097727837565
72,0.029003111453276494,99.78998038982893
73,0.023405227324595195,99.81338561715351
74,0.022067279469553024,99.83545289662307
75,0.021250389612583808,99.85670328623564
76,0.018966396883229417,99.87566968311887
77,0.01706829668837611,99.89273797980725
78,0.015432494077864215,99.90817047388511
79,0.012878799583065148,99.92104927346817
80,0.011600022812862359,99.93264929628103
81,0.01074757421533404,99.94339687049636
82,0.007958521784389546,99.95135539228075
83,0.00786613350602135,99.95922152578677
84,0.007209944647331858,99.9664314704341
85,0.0056638902630459466,99.97209536069714
86,0.005472895481258905,99.9775682561784
87,0.004319202629204479,99.9818874588076
88,0.0033347176698159,99.98522217647742
89,0.002736557874723636,99.98795873435215
90,0.0025923883079031727,99.99055112266004
91,0.0024449895742693095,99.99299611223431
92,0.0019330448845789048,99.99492915711889
93,0.0016604599037318667,99.99658961702262
94,0.001451962472866866,99.99804157949549
95,0.0008683320435135299,99.998909911539
96,0.0007697827536133088,99.99967969429262
97,0.00031657549243607313,99.99999626978506
98,3.7302149066832125e-06,99.99999999999996
99,1.9421540073690904e-31,99.99999999999996
