descriptor,source,nan_rate,kept
fr_alkyl_carbamate,rdkit,0.0,True
fr_alkyl_halide,rdkit,0.0,True
fr_allylic_oxid,rdkit,0.0,True
fr_amide,rdkit,0.0,True
fr_amidine,rdkit,0.0,True
fr_aniline,rdkit,0.0,True
fr_aryl_methyl,rdkit,0.0,True
fr_azide,rdkit,0.0,True
fr_azo,rdkit,0.0,True
fr_barbitur,rdkit,0.0,True
fr_benzene,rdkit,0.0,True
fr_benzodiazepine,rdkit,0.0,True
fr_bicyclic,rdkit,0.0,True
fr_diazo,rdkit,0.0,True
fr_dihydropyridine,rdkit,0.0,True
fr_epoxide,rdkit,0.0,True
fr_ester,rdkit,0.0,True
fr_ether,rdkit,0.0,True
fr_furan,rdkit,0.0,True
fr_guanido,rdkit,0.0,True
fr_halogen,rdkit,0.0,True
fr_hdrzine,rdkit,0.0,True
fr_hdrzone,rdkit,0.0,True
fr_imidazole,rdkit,0.0,True
fr_imide,rdkit,0.0,True
fr_isocyan,rdkit,0.0,True
fr_isothiocyan,rdkit,0.0,True
fr_ketone,rdkit,0.0,True
fr_ketone_Topliss,rdkit,0.0,True
fr_lactam,rdkit,0.0,True
fr_lactone,rdkit,0.0,True
fr_methoxy,rdkit,0.0,True
fr_morpholine,rdkit,0.0,True
fr_nitrile,rdkit,0.0,True
fr_nitro,rdkit,0.0,True
fr_nitro_arom,rdkit,0.0,True
fr_nitro_arom_nonortho,rdkit,0.0,True
fr_nitroso,rdkit,0.0,True
fr_oxazole,rdkit,0.0,True
fr_oxime,rdkit,0.0,True
fr_para_hydroxylation,rdkit,0.0,True
fr_phenol,rdkit,0.0,True
fr_phenol_noOrthoHbond,rdkit,0.0,True
fr_phos_acid,rdkit,0.0,True
fr_phos_ester,rdkit,0.0,True
fr_piperdine,rdkit,0.0,True
fr_piperzine,rdkit,0.0,True
fr_priamide,rdkit,0.0,True
fr_prisulfonamd,rdkit,0.0,True
fr_pyridine,rdkit,0.0,True
fr_quatN,rdkit,0.0,True
fr_sulfide,rdkit,0.0,True
fr_sulfonamd,rdkit,0.0,True
fr_sulfone,rdkit,0.0,True
fr_term_acetylene,rdkit,0.0,True
fr_tetrazole,rdkit,0.0,True
